id,co2,tag
1,400,current
2,410,current
3,440,current
4,460,current
5,470,current
6,460,current
7,440,current
8,410,current
9,425,current
10,445,current
11,450,current
12,475,carbon tax
13,415,carbon tax
14,435,carbon tax
15,420,carbon tax
16,405,carbon tax
17,455,carbon tax
18,420,carbon tax
19,412,carbon tax
20,400,carbon tax
21,398,carbon tax
22,405,carbon tax
23,375,carbon tax
24,385,carbon tax
25,390,carbon tax
26,375,carbon tax
27,380,carbon tax
28,373,carbon tax
29,390,carbon tax
30,375,carbon tax
31,373,autonomous vehicles
32,372,autonomous vehicles
33,370,autonomous vehicles
34,369,autonomous vehicles
35,365,autonomous vehicles
36,364,autonomous vehicles
37,370,autonomous vehicles
38,368,autonomous vehicles
39,369,autonomous vehicles
40,355,autonomous vehicles
41,354,autonomous vehicles
42,353,autonomous vehicles
43,352,autonomous vehicles
44,250,autonomous vehicles
